MEDRA Term	TCIA Collection
Colorectal Carcinoma	CMB-CRC
Colorectal Carcinoma	CMB-CRC
Non-Small Cell Lung Carcinoma	CMB-LCA
Prostate Carcinoma  	CMB-PCA
Adenocarcinoma of the Gastroesophageal Junction	CMB-GEC
Melanoma	CMB-MEL
Plasma Cell Myeloma	CMB-MML
